scenario,scenario_display,sample_idx,target_region,target_region_idx,inferred_region,inferred_region_idx,region_role,method,mse,mae,crps,interval_score,ci_width,coverage,median_mse
HCM,Multi-territory MI (μ=1.7),0,All Regions,-1,Anterior,0,Diseased,Point Estimate,0.005832,0.075864,0.075864,,0.000000,,0.005832
HCM,Multi-territory MI (μ=1.7),0,All Regions,-1,Anterior,0,Diseased,MCMC,0.000814,,0.072843,1.121494,1.121494,1.000000,0.000814
HCM,Multi-territory MI (μ=1.7),0,All Regions,-1,Inferior,1,Diseased,Point Estimate,0.218405,0.460601,0.460601,,0.000000,,0.218405
HCM,Multi-territory MI (μ=1.7),0,All Regions,-1,Inferior,1,Diseased,MCMC,0.010653,,0.111257,1.767533,1.767533,1.000000,0.010653
HCM,Multi-territory MI (μ=1.7),0,All Regions,-1,Lateral,2,Diseased,Point Estimate,0.005297,0.072387,0.072387,,0.000000,,0.005297
HCM,Multi-territory MI (μ=1.7),0,All Regions,-1,Lateral,2,Diseased,MCMC,0.000045,,0.045183,0.747693,0.747693,1.000000,0.000045
HCM,Multi-territory MI (μ=1.7),0,All Regions,-1,Septal,3,Diseased,Point Estimate,0.022080,0.145338,0.145338,,0.000000,,0.022080
HCM,Multi-territory MI (μ=1.7),0,All Regions,-1,Septal,3,Diseased,MCMC,0.047774,,0.147525,1.605019,1.605019,1.000000,0.047774
HCM,Multi-territory MI (μ=1.7),0,All Regions,-1,Apical,4,Diseased,Point Estimate,0.000188,0.010724,0.010724,,0.000000,,0.000188
HCM,Multi-territory MI (μ=1.7),0,All Regions,-1,Apical,4,Diseased,MCMC,0.000013,,0.042034,0.694095,0.694095,1.000000,0.000013
HCM,Multi-territory MI (μ=1.7),1,All Regions,-1,Anterior,0,Diseased,Point Estimate,0.008438,0.090414,0.090414,,0.000000,,0.008438
HCM,Multi-territory MI (μ=1.7),1,All Regions,-1,Anterior,0,Diseased,MCMC,0.000756,,0.086480,1.279128,1.279128,1.000000,0.000756
HCM,Multi-territory MI (μ=1.7),1,All Regions,-1,Inferior,1,Diseased,Point Estimate,0.144103,0.368374,0.368374,,0.000000,,0.144103
HCM,Multi-territory MI (μ=1.7),1,All Regions,-1,Inferior,1,Diseased,MCMC,0.007588,,0.144300,2.469454,2.469454,1.000000,0.007588
HCM,Multi-territory MI (μ=1.7),1,All Regions,-1,Lateral,2,Diseased,Point Estimate,0.001874,0.043001,0.043001,,0.000000,,0.001874
HCM,Multi-territory MI (μ=1.7),1,All Regions,-1,Lateral,2,Diseased,MCMC,0.000406,,0.070184,1.158085,1.158085,1.000000,0.000406
HCM,Multi-territory MI (μ=1.7),1,All Regions,-1,Septal,3,Diseased,Point Estimate,0.018118,0.130424,0.130424,,0.000000,,0.018118
