scenario,scenario_display,sample_idx,target_region,target_region_idx,inferred_region,inferred_region_idx,region_role,method,mse,mae,crps,interval_score,ci_width,coverage,median_mse
MI_2,MI Moderate (μ=2.0),0,Anterior,0,Anterior,0,Diseased,MCMC,0.001806,,0.070917,1.079946,1.079946,1.000000,0.001806
MI_2,MI Moderate (μ=2.0),0,Anterior,0,Inferior,1,Non-diseased,MCMC,0.164871,,0.237909,1.206548,1.206548,1.000000,0.164871
MI_2,MI Moderate (μ=2.0),0,Anterior,0,Lateral,2,Non-diseased,MCMC,0.001325,,0.037118,0.562066,0.562066,1.000000,0.001325
MI_2,MI Moderate (μ=2.0),0,Anterior,0,Septal,3,Non-diseased,MCMC,0.012182,,0.079813,0.989420,0.989420,1.000000,0.012182
MI_2,MI Moderate (μ=2.0),0,Anterior,0,Apical,4,Non-diseased,MCMC,0.005482,,0.045801,0.426989,0.426989,1.000000,0.005482
MI_2,MI Moderate (μ=2.0),1,Anterior,0,Anterior,0,Diseased,MCMC,0.008130,,0.119167,1.730426,1.730426,1.000000,0.008130
MI_2,MI Moderate (μ=2.0),1,Anterior,0,Inferior,1,Non-diseased,MCMC,0.222169,,0.314690,0.938752,0.938752,1.000000,0.222169
MI_2,MI Moderate (μ=2.0),1,Anterior,0,Lateral,2,Non-diseased,MCMC,0.000149,,0.033224,0.584036,0.584036,1.000000,0.000149
MI_2,MI Moderate (μ=2.0),1,Anterior,0,Septal,3,Non-diseased,MCMC,0.018035,,0.098661,1.234533,1.234533,1.000000,0.018035
MI_2,MI Moderate (μ=2.0),1,Anterior,0,Apical,4,Non-diseased,MCMC,0.004668,,0.041590,0.382962,0.382962,1.000000,0.004668
MI_2,MI Moderate (μ=2.0),2,Anterior,0,Anterior,0,Diseased,MCMC,0.004877,,0.093582,1.326982,1.326982,1.000000,0.004877
MI_2,MI Moderate (μ=2.0),2,Anterior,0,Inferior,1,Non-diseased,MCMC,0.199083,,0.272786,1.333474,1.333474,1.000000,0.199083
MI_2,MI Moderate (μ=2.0),2,Anterior,0,Lateral,2,Non-diseased,MCMC,0.000476,,0.038738,0.627845,0.627845,1.000000,0.000476
MI_2,MI Moderate (μ=2.0),2,Anterior,0,Septal,3,Non-diseased,MCMC,0.027621,,0.106916,1.063327,1.063327,1.000000,0.027621
MI_2,MI Moderate (μ=2.0),2,Anterior,0,Apical,4,Non-diseased,MCMC,0.003254,,0.035309,0.379515,0.379515,1.000000,0.003254
MI_2,MI Moderate (μ=2.0),3,Anterior,0,Anterior,0,Diseased,MCMC,0.007323,,0.088824,1.182534,1.182534,1.000000,0.007323
MI_2,MI Moderate (μ=2.0),3,Anterior,0,Inferior,1,Non-diseased,MCMC,0.325323,,0.383199,1.100589,1.100589,1.000000,0.325323
MI_2,MI Moderate (μ=2.0),3,Anterior,0,Lateral,2,Non-diseased,MCMC,0.002361,,0.040037,0.546619,0.546619,1.000000,0.002361
MI_2,MI Moderate (μ=2.0),3,Anterior,0,Septal,3,Non-diseased,MCMC,0.051551,,0.140391,0.973861,0.973861,1.000000,0.051551
MI_2,MI Moderate (μ=2.0),3,Anterior,0,Apical,4,Non-diseased,MCMC,0.010791,,0.060548,0.507577,0.507577,1.000000,0.010791
MI_2,MI Moderate (μ=2.0),4,Anterior,0,Anterior,0,Diseased,MCMC,0.001050,,0.107152,1.640972,1.640972,1.000000,0.001050
MI_2,MI Moderate (μ=2.0),4,Anterior,0,Inferior,1,Non-diseased,MCMC,0.248609,,0.332876,1.075905,1.075905,1.000000,0.248609
MI_2,MI Moderate (μ=2.0),4,Anterior,0,Lateral,2,Non-diseased,MCMC,0.000949,,0.035158,0.578039,0.578039,1.000000,0.000949
MI_2,MI Moderate (μ=2.0),4,Anterior,0,Septal,3,Non-diseased,MCMC,0.011029,,0.076244,1.006469,1.006469,1.000000,0.011029
MI_2,MI Moderate (μ=2.0),4,Anterior,0,Apical,4,Non-diseased,MCMC,0.005266,,0.044420,0.413848,0.413848,1.000000,0.005266
MI_2,MI Moderate (μ=2.0),5,Anterior,0,Anterior,0,Diseased,MCMC,0.008072,,0.078854,1.026703,1.026703,1.000000,0.008072
MI_2,MI Moderate (μ=2.0),5,Anterior,0,Inferior,1,Non-diseased,MCMC,0.300406,,0.395665,2.045605,0.966706,0.000000,0.300406
MI_2,MI Moderate (μ=2.0),5,Anterior,0,Lateral,2,Non-diseased,MCMC,0.003851,,0.041198,0.514941,0.514941,1.000000,0.003851
MI_2,MI Moderate (μ=2.0),5,Anterior,0,Septal,3,Non-diseased,MCMC,0.047352,,0.130573,0.953417,0.953417,1.000000,0.047352
MI_2,MI Moderate (μ=2.0),5,Anterior,0,Apical,4,Non-diseased,MCMC,0.006097,,0.046623,0.396299,0.396299,1.000000,0.006097
MI_2,MI Moderate (μ=2.0),6,Anterior,0,Anterior,0,Diseased,MCMC,0.011407,,0.070605,0.794558,0.794558,1.000000,0.011407
MI_2,MI Moderate (μ=2.0),6,Anterior,0,Inferior,1,Non-diseased,MCMC,0.294752,,0.362634,1.081164,1.081164,1.000000,0.294752
MI_2,MI Moderate (μ=2.0),6,Anterior,0,Lateral,2,Non-diseased,MCMC,0.010820,,0.059901,0.501533,0.501533,1.000000,0.010820
MI_2,MI Moderate (μ=2.0),6,Anterior,0,Septal,3,Non-diseased,MCMC,0.043358,,0.125180,1.035151,1.035151,1.000000,0.043358
MI_2,MI Moderate (μ=2.0),6,Anterior,0,Apical,4,Non-diseased,MCMC,0.001819,,0.032005,0.467084,0.467084,1.000000,0.001819
MI_2,MI Moderate (μ=2.0),7,Anterior,0,Anterior,0,Diseased,MCMC,0.000554,,0.080232,1.299007,1.299007,1.000000,0.000554
MI_2,MI Moderate (μ=2.0),7,Anterior,0,Inferior,1,Non-diseased,MCMC,0.159224,,0.234776,1.291567,1.291567,1.000000,0.159224
MI_2,MI Moderate (μ=2.0),7,Anterior,0,Lateral,2,Non-diseased,MCMC,0.000986,,0.037631,0.644243,0.644243,1.000000,0.000986
MI_2,MI Moderate (μ=2.0),7,Anterior,0,Septal,3,Non-diseased,MCMC,0.007902,,0.073101,1.018706,1.018706,1.000000,0.007902
MI_2,MI Moderate (μ=2.0),7,Anterior,0,Apical,4,Non-diseased,MCMC,0.001338,,0.032874,0.499149,0.499149,1.000000,0.001338
MI_2,MI Moderate (μ=2.0),8,Anterior,0,Anterior,0,Diseased,MCMC,0.002193,,0.095023,1.461418,1.461418,1.000000,0.002193
MI_2,MI Moderate (μ=2.0),8,Anterior,0,Inferior,1,Non-diseased,MCMC,0.225673,,0.306877,1.099083,1.099083,1.000000,0.225673
MI_2,MI Moderate (μ=2.0),8,Anterior,0,Lateral,2,Non-diseased,MCMC,0.000303,,0.033879,0.552534,0.552534,1.000000,0.000303
MI_2,MI Moderate (μ=2.0),8,Anterior,0,Septal,3,Non-diseased,MCMC,0.024929,,0.106359,1.072909,1.072909,1.000000,0.024929
MI_2,MI Moderate (μ=2.0),8,Anterior,0,Apical,4,Non-diseased,MCMC,0.003493,,0.039559,0.498555,0.498555,1.000000,0.003493
MI_2,MI Moderate (μ=2.0),9,Anterior,0,Anterior,0,Diseased,MCMC,0.001391,,0.111747,1.757610,1.757610,1.000000,0.001391
MI_2,MI Moderate (μ=2.0),9,Anterior,0,Inferior,1,Non-diseased,MCMC,0.240081,,0.336539,1.072304,1.072304,1.000000,0.240081
MI_2,MI Moderate (μ=2.0),9,Anterior,0,Lateral,2,Non-diseased,MCMC,0.000292,,0.036055,0.586498,0.586498,1.000000,0.000292
MI_2,MI Moderate (μ=2.0),9,Anterior,0,Septal,3,Non-diseased,MCMC,0.005973,,0.073638,1.040459,1.040459,1.000000,0.005973
MI_2,MI Moderate (μ=2.0),9,Anterior,0,Apical,4,Non-diseased,MCMC,0.007985,,0.054586,0.394778,0.394778,1.000000,0.007985
MI_2,MI Moderate (μ=2.0),10,Anterior,0,Anterior,0,Diseased,MCMC,0.006546,,0.090598,1.250466,1.250466,1.000000,0.006546
MI_2,MI Moderate (μ=2.0),10,Anterior,0,Inferior,1,Non-diseased,MCMC,0.148019,,0.226368,1.294508,1.294508,1.000000,0.148019
MI_2,MI Moderate (μ=2.0),10,Anterior,0,Lateral,2,Non-diseased,MCMC,0.000437,,0.037158,0.573537,0.573537,1.000000,0.000437
MI_2,MI Moderate (μ=2.0),10,Anterior,0,Septal,3,Non-diseased,MCMC,0.033519,,0.114527,1.106023,1.106023,1.000000,0.033519
MI_2,MI Moderate (μ=2.0),10,Anterior,0,Apical,4,Non-diseased,MCMC,0.001291,,0.031812,0.484761,0.484761,1.000000,0.001291
MI_2,MI Moderate (μ=2.0),11,Anterior,0,Anterior,0,Diseased,MCMC,0.002750,,0.095876,1.377357,1.377357,1.000000,0.002750
MI_2,MI Moderate (μ=2.0),11,Anterior,0,Inferior,1,Non-diseased,MCMC,0.298958,,0.377957,0.971761,0.971761,1.000000,0.298958
MI_2,MI Moderate (μ=2.0),11,Anterior,0,Lateral,2,Non-diseased,MCMC,0.000971,,0.033800,0.515803,0.515803,1.000000,0.000971
MI_2,MI Moderate (μ=2.0),11,Anterior,0,Septal,3,Non-diseased,MCMC,0.033214,,0.113578,1.069403,1.069403,1.000000,0.033214
MI_2,MI Moderate (μ=2.0),11,Anterior,0,Apical,4,Non-diseased,MCMC,0.009048,,0.058626,0.394253,0.394253,1.000000,0.009048
MI_2,MI Moderate (μ=2.0),12,Anterior,0,Anterior,0,Diseased,MCMC,0.000077,,0.082587,1.265002,1.265002,1.000000,0.000077
MI_2,MI Moderate (μ=2.0),12,Anterior,0,Inferior,1,Non-diseased,MCMC,0.246525,,0.340068,1.010628,1.010628,1.000000,0.246525
MI_2,MI Moderate (μ=2.0),12,Anterior,0,Lateral,2,Non-diseased,MCMC,0.000808,,0.034401,0.520377,0.520377,1.000000,0.000808
MI_2,MI Moderate (μ=2.0),12,Anterior,0,Septal,3,Non-diseased,MCMC,0.019883,,0.094143,0.979602,0.979602,1.000000,0.019883
MI_2,MI Moderate (μ=2.0),12,Anterior,0,Apical,4,Non-diseased,MCMC,0.009616,,0.060199,0.421663,0.421663,1.000000,0.009616
MI_2,MI Moderate (μ=2.0),13,Anterior,0,Anterior,0,Diseased,MCMC,0.012970,,0.107020,1.427815,1.427815,1.000000,0.012970
MI_2,MI Moderate (μ=2.0),13,Anterior,0,Inferior,1,Non-diseased,MCMC,0.244161,,0.318811,1.147124,1.147124,1.000000,0.244161
MI_2,MI Moderate (μ=2.0),13,Anterior,0,Lateral,2,Non-diseased,MCMC,0.000562,,0.036902,0.611775,0.611775,1.000000,0.000562
MI_2,MI Moderate (μ=2.0),13,Anterior,0,Septal,3,Non-diseased,MCMC,0.042507,,0.129436,1.186934,1.186934,1.000000,0.042507
MI_2,MI Moderate (μ=2.0),13,Anterior,0,Apical,4,Non-diseased,MCMC,0.005936,,0.046121,0.461964,0.461964,1.000000,0.005936
MI_2,MI Moderate (μ=2.0),14,Anterior,0,Anterior,0,Diseased,MCMC,0.005525,,0.098474,1.341667,1.341667,1.000000,0.005525
MI_2,MI Moderate (μ=2.0),14,Anterior,0,Inferior,1,Non-diseased,MCMC,0.187008,,0.269871,1.207168,1.207168,1.000000,0.187008
MI_2,MI Moderate (μ=2.0),14,Anterior,0,Lateral,2,Non-diseased,MCMC,0.000679,,0.036659,0.621405,0.621405,1.000000,0.000679
MI_2,MI Moderate (μ=2.0),14,Anterior,0,Septal,3,Non-diseased,MCMC,0.028992,,0.111638,1.081374,1.081374,1.000000,0.028992
MI_2,MI Moderate (μ=2.0),14,Anterior,0,Apical,4,Non-diseased,MCMC,0.000318,,0.030189,0.495863,0.495863,1.000000,0.000318
MI_2,MI Moderate (μ=2.0),15,Anterior,0,Anterior,0,Diseased,MCMC,0.000732,,0.096711,1.457416,1.457416,1.000000,0.000732
MI_2,MI Moderate (μ=2.0),15,Anterior,0,Inferior,1,Non-diseased,MCMC,0.260623,,0.335059,1.091161,1.091161,1.000000,0.260623
MI_2,MI Moderate (μ=2.0),15,Anterior,0,Lateral,2,Non-diseased,MCMC,0.000637,,0.037403,0.611114,0.611114,1.000000,0.000637
MI_2,MI Moderate (μ=2.0),15,Anterior,0,Septal,3,Non-diseased,MCMC,0.020296,,0.094100,0.983971,0.983971,1.000000,0.020296
MI_2,MI Moderate (μ=2.0),15,Anterior,0,Apical,4,Non-diseased,MCMC,0.006186,,0.047405,0.427968,0.427968,1.000000,0.006186
MI_2,MI Moderate (μ=2.0),16,Anterior,0,Anterior,0,Diseased,MCMC,0.007087,,0.073025,1.054338,1.054338,1.000000,0.007087
MI_2,MI Moderate (μ=2.0),16,Anterior,0,Inferior,1,Non-diseased,MCMC,0.274700,,0.338575,1.201618,1.201618,1.000000,0.274700
MI_2,MI Moderate (μ=2.0),16,Anterior,0,Lateral,2,Non-diseased,MCMC,0.001290,,0.034718,0.522288,0.522288,1.000000,0.001290
MI_2,MI Moderate (μ=2.0),16,Anterior,0,Septal,3,Non-diseased,MCMC,0.068880,,0.154407,0.961511,0.961511,1.000000,0.068880
MI_2,MI Moderate (μ=2.0),16,Anterior,0,Apical,4,Non-diseased,MCMC,0.004596,,0.041011,0.443223,0.443223,1.000000,0.004596
MI_2,MI Moderate (μ=2.0),17,Anterior,0,Anterior,0,Diseased,MCMC,0.002868,,0.101319,1.435236,1.435236,1.000000,0.002868
MI_2,MI Moderate (μ=2.0),17,Anterior,0,Inferior,1,Non-diseased,MCMC,0.162029,,0.244450,1.269657,1.269657,1.000000,0.162029
MI_2,MI Moderate (μ=2.0),17,Anterior,0,Lateral,2,Non-diseased,MCMC,0.000378,,0.035407,0.625031,0.625031,1.000000,0.000378
MI_2,MI Moderate (μ=2.0),17,Anterior,0,Septal,3,Non-diseased,MCMC,0.016577,,0.093356,1.132756,1.132756,1.000000,0.016577
MI_2,MI Moderate (μ=2.0),17,Anterior,0,Apical,4,Non-diseased,MCMC,0.000417,,0.028230,0.475262,0.475262,1.000000,0.000417
MI_2,MI Moderate (μ=2.0),18,Anterior,0,Anterior,0,Diseased,MCMC,0.005937,,0.095531,1.406807,1.406807,1.000000,0.005937
MI_2,MI Moderate (μ=2.0),18,Anterior,0,Inferior,1,Non-diseased,MCMC,0.333791,,0.393546,1.107448,1.107448,1.000000,0.333791
MI_2,MI Moderate (μ=2.0),18,Anterior,0,Lateral,2,Non-diseased,MCMC,0.001618,,0.036857,0.532870,0.532870,1.000000,0.001618
MI_2,MI Moderate (μ=2.0),18,Anterior,0,Septal,3,Non-diseased,MCMC,0.031910,,0.108967,0.936125,0.936125,1.000000,0.031910
MI_2,MI Moderate (μ=2.0),18,Anterior,0,Apical,4,Non-diseased,MCMC,0.010304,,0.062475,0.389985,0.389985,1.000000,0.010304
MI_2,MI Moderate (μ=2.0),19,Anterior,0,Anterior,0,Diseased,MCMC,0.002238,,0.065566,1.017548,1.017548,1.000000,0.002238
MI_2,MI Moderate (μ=2.0),19,Anterior,0,Inferior,1,Non-diseased,MCMC,0.254236,,0.325427,1.048259,1.048259,1.000000,0.254236
MI_2,MI Moderate (μ=2.0),19,Anterior,0,Lateral,2,Non-diseased,MCMC,0.002780,,0.039088,0.515656,0.515656,1.000000,0.002780
MI_2,MI Moderate (μ=2.0),19,Anterior,0,Septal,3,Non-diseased,MCMC,0.026561,,0.102884,0.967191,0.967191,1.000000,0.026561
MI_2,MI Moderate (μ=2.0),19,Anterior,0,Apical,4,Non-diseased,MCMC,0.004809,,0.043986,0.481597,0.481597,1.000000,0.004809
MI_2,MI Moderate (μ=2.0),20,Inferior,1,Anterior,0,Non-diseased,MCMC,0.001896,,0.047575,0.692362,0.692362,1.000000,0.001896
MI_2,MI Moderate (μ=2.0),20,Inferior,1,Inferior,1,Diseased,MCMC,0.014842,,0.133489,1.882077,1.882077,1.000000,0.014842
MI_2,MI Moderate (μ=2.0),20,Inferior,1,Lateral,2,Non-diseased,MCMC,0.003611,,0.039300,0.464912,0.464912,1.000000,0.003611
MI_2,MI Moderate (μ=2.0),20,Inferior,1,Septal,3,Non-diseased,MCMC,0.013310,,0.075356,0.862221,0.862221,1.000000,0.013310
MI_2,MI Moderate (μ=2.0),20,Inferior,1,Apical,4,Non-diseased,MCMC,0.004461,,0.042053,0.484203,0.484203,1.000000,0.004461
MI_2,MI Moderate (μ=2.0),21,Inferior,1,Anterior,0,Non-diseased,MCMC,0.008910,,0.063270,0.699593,0.699593,1.000000,0.008910
